name,lat,lon
El Capitan,34.45759322742309,-120.02203
Refugio,34.46052293893899,-120.07328
Tajiguas,34.4625,-120.099
Jalama,34.50875036590315,-120.50348
Surf Beach,34.68700870220497,-120.6111611
Oceano Pier Ave.,35.104023095931694,-120.6321251
Grover Beach,35.120238313772994,-120.63635
Pismo Beach Pier,35.13877877884115,-120.64535
Shell Beach,35.16170504,-120.68954
Avila Beach,35.1775326,-120.73411
Cable Landing,35.30143372628852,-120.8778192
Morro Bay Harbor,35.368694153714465,-120.8554
Morro Bay,35.37815414378748,-120.86589
Morro Strand,35.39128905521763,-120.86935
"Cayucos Pier, Southside",35.44820114936284,-120.90715
Santa Rosa Creek,35.56829031927379,-121.11207
Moonstone,35.57305382,-121.1143362
Leffingwell Landing,35.5802,-121.121
San Simeon,35.61269103500222,-121.14807
Pico Creek,35.61533716776573,-121.1502053
Piedras Blancas,35.66782240455792,-121.2851727
Willow Creek,35.89412279173619,-121.4623801
Sand Dollar Beach,35.92499624829542,-121.46957
Big Sur Rivermouth,36.27968576518622,-121.85962
Carmel Beach,36.55448900657569,-121.93114
Ghost Tree,36.56037685095311,-121.9516152
Monterey Wall,36.60199,-121.88908
Monterey Bay,36.606635,-121.89109
Monterey State Beach,36.608518,-121.86467
Mole Point,36.60883280895963,-121.9603487
Asilomar,36.61880091818895,-121.94225
Lovers Point,36.62606586,-121.91548
Boneyard,36.63788026219399,-121.9311174
Marina State Beach,36.69388179265737,-121.81289
Moss Landing,36.80821791915616,-121.79055
Manresa,36.91899972819882,-121.85536
La Selva,36.936007,-121.86856
Natural Bridges,36.94905295955728,-122.06118
Swift Street,36.949133,-122.04759
Mitchell's Cove,36.95154854910425,-122.04207
Steamer Lane,36.95188851423011,-122.02522
Wind and Sea,36.9536,-121.9762
Rockview,36.9543,-121.9749
Pleasure Point,36.95468082526536,-121.97234
26th Ave,36.95723124,-121.98177
Jack's,36.95782765000708,-121.96729
The Hook,36.959,-121.964
Cowells,36.95918781542251,-122.02489
Sunny Cove,36.95997,-121.98957
Blacks Beach,36.96001,-121.99468
Three Mile,36.96126755026867,-122.1141
Privates,36.964344,-121.96017
Four Mile,36.96512852130351,-122.1252825
Capitola,36.971492,-121.9486
Davenport,37.02350229387179,-122.21908
Scott Creek,37.04122807048655,-122.23337
Waddell Creek,37.09520872681598,-122.2805475
Ano Nuevo,37.11578956919415,-122.3147
South Ocean Beach,37.741668,-122.51038
Central Ocean Beach,37.75281,-122.51014
North Ocean Beach,37.77524656957721,-122.51312
Fort Point,37.809987384424446,-122.47514
Cronkhite,37.8289475,-122.53768
Stinson Beach,37.89801283969752,-122.64519
Bolinas,37.90514516176495,-122.68151
Point Reyes (north),38.04892513158693,-122.98925
Dillon Beach,38.249,-122.972
Doran Beach,38.31088736605785,-123.0496777
Salmon Creek,38.35329968518107,-123.06906
Russian Rivermouth,38.45077228660809,-123.13008
Black Point Beach,38.68451802,-123.4322714
Point Arena,38.91444690804076,-123.7104245
Mendocino Township,39.30271935445495,-123.79757
Caspar Beach,39.361071,-123.81809
Jug Handle State Beach,39.376830049635686,-123.81849
Glass Beach,39.4525,-123.8135
Pudding Creek Beach,39.4598,-123.8087
Virgin Creek,39.4635,-123.81
MacKerricher,39.47339314374171,-123.805311
MacKerricher Laguna Point,39.4903,-123.8003
Ten Mile Beach,39.5252,-123.7779
Westport,39.63537452931482,-123.7858735
Wages Creek Beach,39.6508,-123.7851
DeHaven Creek,39.6597,-123.7868
Usal Beach,39.8312,-123.8516
Needle Rock,39.9442,-123.9688
Shelter Cove,40.02528754746774,-124.06372
North Jetty,40.76684246920174,-124.23107
